"id","name","code","account_type","reconcile","tax_ids"
"ae_custom_account_11010101","Land","11010101","asset_non_current","False",""
"ae_custom_account_11010102","Buildings & Structures","11010102","asset_non_current","False",""
"ae_custom_account_11010103","Accumulated Depreciation - Buildings & Structures","11010103","asset_non_current","False",""
"ae_custom_account_11010201","Furnitures & Fixtures - Cost","11010201","asset_non_current","False",""
"ae_custom_account_11010202","Accumulated Depreciation - Furniture & Fixtures","11010202","asset_non_current","False",""
"ae_custom_account_11010301","Leasehold Improvements - Cost","11010301","asset_non_current","False",""
"ae_custom_account_11010302","Accumulated Depreciation - Leasehold Improvements","11010302","asset_non_current","False",""
"ae_custom_account_11010401","Vehicles - Cost","11010401","asset_non_current","False",""
"ae_custom_account_11010402","Accumulated Depreciation - Vehicles","11010402","asset_non_current","False",""
"ae_custom_account_11010501","Computer Equipments - Cost","11010501","asset_non_current","False",""
"ae_custom_account_11010502","Printers & Accessories - Cost","11010502","asset_non_current","False",""
"ae_custom_account_11010503","Accumulated Depreciation - Computer Equipments","11010503","asset_non_current","False",""
"ae_custom_account_11010601","Office Equipments","11010601","asset_non_current","False",""
"ae_custom_account_11010602","Accumulated Depreciation - Office Equipments","11010602","asset_non_current","False",""
"ae_custom_account_11020101","Right of Use Asset - Property","11020101","asset_non_current","False",""
"ae_custom_account_11020102","Right of Use Asset - Vehicles","11020102","asset_non_current","False",""
"ae_custom_account_11020103","Right of Use Asset - Equipment","11020103","asset_non_current","False",""
"ae_custom_account_11020401","Accumulated Depreciation - ROU Property","11020401","asset_non_current","False",""
"ae_custom_account_11020501","Accumulated Depreciation - ROU Vehicles","11020501","asset_non_current","False",""
"ae_custom_account_11020601","Accumulated Depreciation - ROU Equipment","11020601","asset_non_current","False",""
"ae_custom_account_11030101","Capital Work in Progress - Buildings & Structures","11030101","asset_non_current","False",""
"ae_custom_account_11030102","Capital Work in Progress - Leasehold Improvements","11030102","asset_non_current","False",""
"ae_custom_account_11030103","Capital Work in Progress - Intangible Assets","11030103","asset_non_current","False",""
"ae_custom_account_11040101","Investment in Mutual Funds / Asset Management Companies","11040101","asset_non_current","False",""
"ae_custom_account_11040102","Investment in Private Equity Funds","11040102","asset_non_current","False",""
"ae_custom_account_11040103","Investment in Bonds","11040103","asset_non_current","False",""
"ae_custom_account_11050101","Bank Term Deposits","11050101","asset_non_current","False",""
"ae_custom_account_11050102","Security Deposits (Landlord/Rent)","11050102","asset_non_current","False",""
"ae_custom_account_11050103","Other Long Term Deposits","11050103","asset_non_current","False",""
"ae_custom_account_11060101","Loan to Subsidiaries","11060101","asset_non_current","False",""
"ae_custom_account_11060102","Loan to Associates","11060102","asset_non_current","False",""
"ae_custom_account_11060103","Loan to Directors / Shareholders","11060103","asset_non_current","False",""
"ae_custom_account_11070101","ERP Software - Cost","11070101","asset_non_current","False",""
"ae_custom_account_11070102","Software License - Cost","11070102","asset_non_current","False",""
"ae_custom_account_11070103","Accumulated Amortization - Intangibles","11070103","asset_non_current","False",""
"ae_custom_account_11070201","Website","11070201","asset_non_current","False",""
"ae_custom_account_11070301","Other Intangible Assets","11070301","asset_non_current","False",""
"ae_custom_account_11080101","Investment in Subsidiaries","11080101","asset_non_current","False",""
"ae_custom_account_11080102","Investment in Associates","11080102","asset_non_current","False",""
